,name,qid,measure,value
0,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",156493,map,0.18609195622255564
1,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",156493,recip_rank,1.0
2,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",156493,ndcg_cut_10,0.45555058763499734
3,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",156493,ndcg_cut_30,0.34504090035007723
4,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1110199,map,0.03521329182020264
5,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1110199,recip_rank,1.0
6,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1110199,ndcg_cut_10,0.16139724848992007
7,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1110199,ndcg_cut_30,0.09424100629203029
8,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1063750,map,0.0001821766664748271
9,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), BR(Dl))))), <pyterrier.ltr.RegressionTransformer object at 0x1605801c0>)",1063750,recip_rank,0.008064516129032258
